In Java's regular expressions, '\d' looks for __	digits	
Assume the following method is properly synchronized and caled from a thread A on an object B,<div><br /></div><div><code>wait(2000);</code></div><div><br /></div><div>after calling this method, when will thread A be able to get another turn at the CPU?</div>	after object B is notified, or after two seconds	
The notifyAll() method must be called from a synchronized context. T/F	true	
<span style=" font-style: normal; font-weight: normal;">The notifyAll() method must be called outside of a synchronized context. T/F</span>	false	
<span style=" font-style: normal; font-weight: normal;">The notify() method must be called outside of a synchronized context. T/F</span>	false	
<span style=" font-style: normal; font-weight: normal;">The wait() method must be called outside of a synchronized context. T/F</span>	false	
The notify() method must be called from a synchronized context. T/F	true	
<span style=" font-style: normal; font-weight: normal;">The wait() method must be called from a synchronized context. T/F</span>	true	
When a thread is waiting as a result of wait(), it releases its lock. T/F	true	
<span style=" font-style: normal; font-weight: normal;">When a thread is waiting as a result of wait(), it keeps its lock. T/F</span>	false<div><br /></div><div>it releases its lock</div>	
To call wait(), an object must own the lock on the thread. T/F	false<div><br /></div><div>the thread must own the lock on the object that wait() is being invoked on</div>	
<span style=" font-style: normal; font-weight: normal;">To call wait(), a thread must own the lock on the object. T/F</span>	true<div><br /></div><div>the thread must own the lock on the object that wait() is being invoked on</div>	
The notify() method is defined in the Thread class. T/F	false<div><br /></div><div>defined in the Object class.</div>	
<span style=" font-style: normal; font-weight: normal;">The notify() method is defined in the Object class. T/F</span>	true	
The notify() method causes a thread to immediately release its lock. T/F	false<div><br /></div><div>notify() releases a blocked thread that is waiting on the object lock</div><div><br /></div><div>notify() will not cause the executing thread to release its object lock</div>	
A thread can only release its locks by exiting the synchronized code. T/F	true	
notifyAll() notifies all waiting threads, regardless of the object they're waiting on. T/F	false<div><br /></div><div>notifyAll() notifies all threads waiting on a particular locked object</div>	
<div align="left"><code><div>public static synchronized void main(String[] args) throws</div>&nbsp;&nbsp;InterruptedException {<div>&nbsp;&nbsp;Thread t = new Thread();</div><div>&nbsp;&nbsp;t.start();</div><div>&nbsp;&nbsp;System.out.print("X");</div><div>&nbsp;&nbsp;t.wait(10000);</div><div>&nbsp;&nbsp;System.out.print("Y");</div><div>}</div><div><br /></div></code></div><div>What is the result?</div>	an exception is thrown at runtime<div><br /></div><div>a lock is not acquired on 't' before calling 't.wait()'. The method is synchronized, but it is not synchronized on 't'.</div>	
<span style=" font-style: normal; font-weight: normal;"><br><div align="left"><br><code><div>public static synchronized void main(String[] args) throws</div>&nbsp;InterruptedException {<div>&nbsp;&nbsp;Thread t = new Thread();</div><div>&nbsp;&nbsp;t.start();</div><div>&nbsp;&nbsp;System.out.print("X");</div><div>&nbsp;&nbsp;synchronized(t) {</div><div>&nbsp;&nbsp; &nbsp;t.wait(10000);</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;System.out.print("Y");</div><div>}</div><div><br /></div></code><br></div><br><div>What is the result?</div></span>	prints "X", waits 10 seconds, then prints "Y"	
<span style=" font-style: normal; font-weight: normal;"><br><div align="left"><br><code><div>public static void main(String[] args) throws</div>&nbsp;&nbsp;InterruptedException {<div>&nbsp;&nbsp;Thread t = new Thread();</div><div>&nbsp;&nbsp;t.start();</div><div>&nbsp;&nbsp;System.out.print("X");</div><div>&nbsp;&nbsp;synchronized(t) {</div><div>&nbsp;&nbsp; &nbsp;t.wait(10000);</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;System.out.print("Y");</div><div>}</div><div><br /></div></code><br></div><br><div>What is the result?</div><br></span>	<span style=" font-style: normal; font-weight: normal;">prints "X", waits 10 seconds, then prints "Y"</span>	
What is the result?<div align="left"><span style=" font-style: normal; font-weight: normal;"><code><div><br /></div><div>public static void main(String[] args) throws</div>&nbsp;&nbsp;InterruptedException {<div>&nbsp;&nbsp;Thread t = new Thread();</div><div>&nbsp;&nbsp;t.start();</div><div>&nbsp;&nbsp;System.out.print("X");</div><div>&nbsp;&nbsp;synchronized(this) {</div><div>&nbsp;&nbsp; &nbsp;t.wait(10000);</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;System.out.print("Y");</div><div>}</div></code></span></div>	<span style=" font-style: normal; font-weight: normal;">an exception is thrown at runtime<div><br /></div><div>a lock is not acquired on 't' before calling 't.wait()'. The call to wait() is synchronized, but it is not synchronized on 't'.</div></span>	
What is the result?<div><br /><div align="left"><code><br><div>class Foo {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo() { System.out.print(" Howdy"); }</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public void bar() { System.out.print(" partner"); }</div><div>}</div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String [] args) {</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;Foo f = new Foo() {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;public void bar() { System.out.print(" qux"); }</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;};</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;f.bar();</div><div>}<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><br></code></div></div>	" Howdy qux" printed	
What is the result?<div><br /><div align="left"><code><br><div>class Foo {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo() { System.out.print(" Howdy"); }</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public void bar() { System.out.print(" partner"); }</div><div>}</div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String [] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f = new Foo() {</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public void bar(String s) { System.out.print(" qux"); }</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;};</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>f.bar();</div><div>}<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><br></code></div></div>	" Howdy partner" is printed	
What is the result?&nbsp;<div><br /><div align="left"><code><div>public class Example implements Runnable {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>void go(long id) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(id);</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print(Thread.currentThread().getId() + " "); //assume this prints a "1 "</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>new Example().run();</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public void run() { go(Thread.currentThread().getId()); }</div><div>}</div></code></div></div>	1 1<div><br /></div><div>a new thread is not started</div>	
What is the result?<div>&nbsp;&nbsp;<div align="left"><code><div>public class Example implements Runnable {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>void go(long id) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(id);</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print(Thread.currentThread().getId() + " ");&nbsp;//assume this prints a "1 "</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>new Example().start();</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public void run() { go(Thread.currentThread().getId()); }</div><div>}</div></code></div></div>	Compile error<div><br /></div><div>The start() method is defined in the Thread class, not the Runnable interface.</div>	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div>&nbsp;&nbsp;<div align="left"><code><div><div>public class Example implements Runnable {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>void go(long id) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;System.out.println(id);</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;System.out.print(Thread.currentThread().getId() + " ");&nbsp;//assume this prints a "1 "</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>new Thread(new Example());</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;}</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public void run() { go(Thread.currentThread().getId()); }</div><div>}</div></div></code></div></div></span>	1<div><br /></div><div>a new thread is created and given a Runnable, but not started.</div>	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div>&nbsp;&nbsp;<div align="left"><code><div><div><div>public class Example implements Runnable {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>void go(long id) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(id);</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;System.out.print(Thread.currentThread().getId() + " ");</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>new Thread(new Example()).run();</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public void run() { go(Thread.currentThread().getId()); }</div><div>}</div></div></div></code></div></div></span>	1 1<div><br /></div><div>a new thread is created and the run() method is invoked directly, but a new thread isn't started.</div>	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div>&nbsp;&nbsp;<div align="left"><code><div><div><div><div>public class Example implements Runnable {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>void go(long id) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(id);</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print(Thread.currentThread().getId() + " ");</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>new Thread(new Example()).start();</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public void run() { go(Thread.currentThread().getId()); }</div><div>}</div></div></div></div></code></div></div></span>	1 8<div><br /></div><div>The '8' could be any number that is not 1<br /><div><br /></div><div>a new thread is created and started</div></div>	
What is the result?<div><br /></div><br><div align="left"><code><br><div><div>public class Example implements Runnable {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Thread t = new Thread(new Example());</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>t.start();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print("1 ");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>t.join();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print("2 ");</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>&nbsp;&nbsp;public void run() {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print("3 ");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print("4 ");</div><div>}<span class="Apple-tab-span" style="white-space:pre"> </span>}</div></div><br></code></div>	Compile error<div><br /></div><div>uncaught exception. join() throws an InterruptedException</div>	
<div>What is the result?</div><div><br /></div><br><div align="left"><code><br><div>public class Example implements Runnable {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Thread t = new Thread(new Example());</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>t.start();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print("1 ");</div><div>&nbsp;&nbsp; <span class="Apple-tab-span" style="white-space:pre"> </span>try { t.join(); }</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>catch(Exception e) { }</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print("2 ");</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public void run() {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print("3 ");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print("4 ");</div><div>}<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><br></code></div>	3 4 1 2<div>or</div><div>1 3 4 2</div>	
<div>What is the result?&nbsp;</div><div><br /></div><br><div align="left"><code><br><div>class Foo {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>synchronized void bar(long id) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;for(int x = 1; x &lt; 3; x++) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;System.out.print(id + " ");</div><div>&nbsp;&nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;Thread.yield();</div><div>} }<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>public class Example implements Runnable {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>new Example().go();</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;void go() {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>f = new Foo();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>new Thread(new Example()).start(); //assume thread id is 1</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>new Thread(new Example()).start(); //assume thread id is 2</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public void run() {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>f.bar(Thread.currentThread().getId());</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></code></div>	an exception is thrown at runtime<div><br /></div><div>The class variable 'f' is not static. When the Runnable object in each thread executes run(), f is not assigned to anything</div>	
<span style=" font-style: normal; font-weight: normal;"><div>What is the result?&nbsp;</div><div><br /></div><div align="left"><code><div><div>class Foo {</div><div>&nbsp;&nbsp;synchronized void bar(long id) {</div><div>&nbsp;&nbsp; &nbsp;for(int x = 1; x &lt; 3; x++) {</div><div>&nbsp;&nbsp; &nbsp; &nbsp;System.out.print(id + " ");</div><div>&nbsp;&nbsp; &nbsp; &nbsp;Thread.yield();</div><div>} } }</div><div>public class Example implements Runnable {</div><div>&nbsp;&nbsp;static Foo f;</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;new Example().go();</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;void go() {</div><div>&nbsp;&nbsp; &nbsp;f = new Foo();</div><div>&nbsp;&nbsp; &nbsp;new Thread(new Example()).start(); //assume thread id is 1</div><div>&nbsp;&nbsp; &nbsp;new Thread(new Example()).start(); //assume thread id is 2</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;public void run() {</div><div>&nbsp;&nbsp; &nbsp;f.bar(Thread.currentThread().getId());</div><div>&nbsp;&nbsp;}</div><div>}</div></div></code></div></span>	1 1 2 2	
When compiling java files with javac, the '-d' option does what?	The -d option lets you tell the compiler in which dir to put the .class files	
Given:<div><br /></div><br><div align="left"><code><br><div>FooProject</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp; |</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp; |-- Example.java</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp; |</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp; |-- classes</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; |</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; |-- Example.class</div><div><br /></div><br></code></div><br><div>Assuming Example does not have a package statement,</div><div>What command do you use to compile Example.java and generate the directory structure above?</div>	javac -d classes Example.java	
When running the java command, you must specify exactly one class file to execute. T/F	true	
<span style=" font-style: normal; font-weight: normal;">When running the java command, you must specify at least one class file to execute.</span>	false<br /><br />You must specify ONLY one class file	
Is this usage a correct structure of the java command?<br /><br /><code>java [options] class [args]</code>	yes	
<span style=" font-style: normal; font-weight: normal;">Is this usage a correct structure of the java command?<br /><br /><code>java [args] [options] class</code></span>	no<div><br /></div><div>Correct usage is:</div><div><br /></div><br><code><div><span style=" font-style: normal; font-weight: normal;">java [options] class [args]</span></div></code>	
<span style=" font-style: normal; font-weight: normal;">Is this usage a correct structure of the java command?<br /><br /><code>java [args] class&nbsp;[options]</code></span>	no<div><br /></div><div>Correct usage is</div><div><br /></div><br><code><br><div><span style=" font-style: normal; font-weight: normal;">java [options] class [args]</span></div><br></code>	
<span style=" font-style: normal; font-weight: normal;">Is this usage a correct structure of the java command?<br /><br /><code>java [options]&nbsp;<span style=" font-style: normal; font-weight: normal;">[args]&nbsp;</span>class</code></span>	no<div><br /></div><div><span style=" font-style: normal; font-weight: normal;"><div>Correct usage is:</div><div><br /></div><code><div><span style="font-style: normal; font-weight: normal; ">java [options] class [args]</span></div></code></span></div>	
<span style=" font-style: normal; font-weight: normal;">Is this usage a correct structure of the java command?<br /><br /><code>java<span style=" font-style: normal; font-weight: normal;"><span style="font-style: normal; font-weight: normal; ">&nbsp;</span>class</span>&nbsp;[options]&nbsp;<span style="font-style: normal; font-weight: normal; ">[args]</span></code></span>	<span style=" font-style: normal; font-weight: normal;">no<div><br /></div><div><span style="font-style: normal; font-weight: normal; "><div>Correct usage is:</div><div><br /></div><code><div><span style="font-style: normal; font-weight: normal; ">java [options] class [args]</span></div></code></span></div></span>	
<span style=" font-style: normal; font-weight: normal;">Is this usage a correct structure of the java command?<br /><br /><code>java<span style="font-style: normal; font-weight: normal; "><span style="font-style: normal; font-weight: normal; ">&nbsp;</span>class</span>&nbsp;<span style=" font-style: normal; font-weight: normal;">[args]&nbsp;</span>[options]</code></span>	<span style=" font-style: normal; font-weight: normal;">no<div><br /></div><div><span style="font-style: normal; font-weight: normal; "><div>Correct usage is:</div><div><br /></div><code><div><span style="font-style: normal; font-weight: normal; ">java [options] class [args]</span></div></code></span></div></span>	
In which package is the Properties class located?	java.util.Properties	
When running the java command, what does the -D option do?	Allows you to create a system property and assign it a value<div><br /></div><div>Ex.</div><div>java -DmyProp=myValue Foo</div>	
When executing the java command, you may only create one system property. T/F	true	
<span style=" font-style: normal; font-weight: normal;">When executing the java command, you may create multiple system properties. T/F</span>	false<br /><br />you may only create one system property when executing the java command	
A static import is used when the imported class is static. T/F	false<div><br /></div><div>static imports are used when you want to use a class's static members (Integer.MAX_VALUE)</div>	
<span style=" font-style: normal; font-weight: normal;">A static import is used when you want to use static members of a class. T/F</span>	true	
What is the result?<br><div align="left"><br><div>&nbsp;&nbsp;<code><div>public class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(Integer.MAX_VALUE); // biggest Integer is&nbsp;2147483647</div><div>} }</div><br></code></div></div>	<span style=" font-style: normal; font-weight: normal;">2147483647</span>	
What is the result?<br><div align="left"><br><div>&nbsp;&nbsp;<code><div><div>import static java.lang.Integer.*;</div><div>public class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(MAX_VALUE);&nbsp;// biggest Integer is&nbsp;2147483647</div><div>} }</div></div></code></div><br></div>	<span style=" font-style: normal; font-weight: normal;">2147483647</span>	
<span style=" font-style: normal; font-weight: normal;">What is the result?<br><div align="left"><br><div>&nbsp;&nbsp;<code><div><div>import static java.lang.Integer;</div><div>public class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;System.out.println(MAX_VALUE); // biggest Integer is 2147483647</div><div>} }</div></div></code></div><br></div><br></span>	compile error<div><br /></div><div>The static import statement should be:</div><div><br /></div><div>import static java.lang.Integer.*;</div>	
What is the result?<br><div align="left"><br><div>&nbsp;&nbsp;<code><div><div><div>import java.lang.Integer.*;</div><div>public class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;System.out.println(MAX_VALUE); // biggest Integer is 2147483647</div><div>} }</div></div></div></code></div><br></div>	compile error<div><br /></div><div>MAX_VALUE is a static member in the Integer class. The import statement should be a static import statement.<br /><br />import static java.lang.Integer.*;</div>	
<span style=" font-style: normal; font-weight: normal;">What is the result?<br><div align="left"><br><div>&nbsp;&nbsp;<code><div><div><div>import static java.lang.System.out;</div><div>public class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>out.println("1");</div><div>} }</div></div></div></code></div><br></div><br></span>	1	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div>&nbsp;&nbsp;<br><div align="left"><br><code><div><div><div><div>import static java.lang.System.*;</div><div>public class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;out.println("1");</div><div>} }</div></div></div></div><br></code></div><br></div></span>	1	
<span style=" font-style: normal; font-weight: normal;">What is the result?<br><div align="left"><br><div>&nbsp;&nbsp;<code><div><div><div><div><div>import java.lang.System.out;</div><div>public class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>out.println("1");</div><div>} }</div></div></div></div></div></code></div><br></div><br></span>	compile error<div><br /></div><div>out is a static member of the System class<br /><br />The import statement should be a static import statement.</div><div><br /></div><div>import static java.lang.System.out;</div>	
<span style=" font-style: normal; font-weight: normal;">What is the result?<br><div align="left"><br><div>&nbsp;&nbsp;<code><div><div><div><div><div>import java.lang.System.*;</div><div>public class Example {</div><div><span class="Apple-tab-span" style="white-space: pre; "> </span>&nbsp;public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space: pre; "> </span>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>out.println("1");</div><div>} }</div></div></div></div></div></code></div><br></div><br></span>	<span style=" font-style: normal; font-weight: normal;">compile error<div><br /></div><div>out is a static member of the System class<br /><br />The import statement should be a static import statement.</div><div><br /></div><div>import static java.lang.System.*;</div></span>	
What is the result?<div><br /></div><br><code><br><div align="left"><div align="left">class Example {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>static public void main(String[] args) {</div><div align="left">&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>String[] sa = {"hi", "there", "cat"};</div><div align="left">&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>for(int i=0; ++i &lt; sa.length; )</div><div align="left">&nbsp;&nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print(sa[i] + " ");</div><div align="left">} }</div></div><br></code>	there cat	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /></div><code><div align="left"><div align="left">class Example {</div><div align="left">&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>static public void main(String[] args) {</div><div align="left">&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>String[] sa = {"hi", "there", "cat"};</div><div align="left">&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>for(int i=0; i++ &lt; sa.length; )</div><div align="left">&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>System.out.print(sa[i] + " ");</div><div align="left">} }</div></div></code></span>	runtime exception<div><br /></div><div>ArrayIndexOutOfBoundsException</div>	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /></div><code><div align="left"><div align="left"><div align="left">class Example {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>static public void main(String[] args) {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>String[] sa = {"hi", "there", "cat"};</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>for(int i=0; i++ &lt; sa.length-1; )</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print(sa[i] + " ");</div><div align="left">} }</div></div></div></code></span>	there cat	
Consider this command invocation:<div><br /></div><div>javac -classpath Foo Bar.java<br /><br />What does the 'Foo' arg to the -classpath option describe?</div>	Foo describes where to look for the classes Bar.java needs.	
